"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Premonition of Your Demise","dsc","Near Mint","English","","","2025-01-30 01:12:26.417000","353","False","False",""
"1","1","Aang's Iceberg","tla","Near Mint","English","","","2025-12-27 02:04:28.330000","5","False","False",""
"1","1","Aang's Journey","tla","Near Mint","English","","","2025-12-27 02:04:28.330000","1","False","False",""
"1","1","Abandon Attachments","tla","Near Mint","English","","","2025-12-27 02:04:28.330000","205","False","False",""
"1","1","Abdel Adrian, Gorion's Ward","clb","Near Mint","English","","","2025-08-23 13:59:47.297000","2","False","False","0.72"
"1","1","Aberrant","40k","Near Mint","English","","","2025-02-10 13:37:44.843000","86","False","False",""
"1","1","Aberrant Manawurm","sos","Near Mint","English","","","2026-05-08 12:02:52.723000","138","False","False",""
"1","1","Aberrant Researcher // Perfected Form","inr","Near Mint","English","","","2025-08-17 02:28:53.167000","52","False","False",""
"1","1","Abiding Grace","mh2","Near Mint","English","","","2025-08-17 02:32:30.037000","1","False","False",""
"1","1","Abrade","scd","Near Mint","English","","","2025-12-20 13:07:15.227000","122","False","False",""
"1","1","Abrade","vow","Near Mint","English","","","2025-08-30 16:37:13.577000","139","False","False",""
"1","1","Abrade","vow","Near Mint","English","","","2025-08-30 16:38:13.703000","139","False","False",""
"1","1","Abrade","vow","Near Mint","English","","","2025-11-04 05:29:54.330000","139","False","False",""
"1","1","Abrade","tdc","Near Mint","English","","","2025-12-25 23:24:21.573000","203","False","False",""
"1","1","Absorb","scd","Near Mint","English","","","2025-12-20 13:06:05.637000","216","False","False",""
"1","1","Abstract Paintmage","sos","Near Mint","English","foil","","2026-05-08 12:02:52.723000","171","False","False",""
"1","1","Abundance","40k","Near Mint","English","","","2025-12-26 23:09:53.907000","210","False","False",""
"1","1","Abundant Growth","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","194","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","","","2025-03-08 14:32:56.150000","184","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","","","2025-08-17 01:57:00.577000","406","False","False",""
"1","1","Abundant Maw","inr","Near Mint","English","","","2025-08-17 02:24:43.943000","1","False","False",""
"1","1","Abzan Devotee","tdm","Near Mint","English","","","2025-04-12 21:46:46.227000","68","False","False",""
"1","1","Academy Journeymage","j25","Near Mint","English","","","2025-03-08 19:06:48.603000","281","False","False",""
"1","1","Academy Manufactor","mkc","Near Mint","English","","","2025-12-26 23:09:53.907000","221","False","False",""
"1","1","Academy Manufactor","mh2","Near Mint","English","","","2026-06-16 17:08:32.460000","219","False","False","5.23"
"1","1","Academy Manufactor","sld","Near Mint","English","","","2026-06-16 17:08:19.097000","7094","False","False",""
"1","1","Accumulate Wisdom","tla","Near Mint","English","","","2025-12-27 02:04:28.330000","44","False","False",""
"1","1","Accursed Marauder","mh3","Near Mint","English","","","2025-12-21 23:05:57.797000","80","False","False",""
"1","1","Accursed Marauder","mh3","Near Mint","English","","","2025-02-11 08:25:16.427000","80","False","False",""
"1","1","Acidic Slime","tmc","Near Mint","English","","","2026-03-09 11:57:39.163000","48","False","False",""
"1","1","Acidic Slime","m3c","Near Mint","English","","","2025-12-21 22:14:24.187000","218","False","False",""
"1","1","Acidic Slime","cmm","Near Mint","English","","","2025-08-17 01:57:00.577000","270","False","False",""
"1","1","Acolyte Hybrid","40k","Near Mint","English","","","2025-12-25 22:22:14.977000","70","False","False",""
"1","1","Acquired Mutation","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","53","False","False",""
"1","1","Acrobatic Cheerleader","dsk","Near Mint","English","","","2025-02-11 08:25:16.427000","1","False","False",""
"1","1","Adaptive Sporesinger","one","Near Mint","English","","","2025-02-11 08:25:16.427000","157","False","False",""
"1","1","Adarkar Wastes","dsc","Near Mint","English","","","2025-12-22 04:39:45.183000","258","False","False",""
"1","1","Adeline, Resplendent Cathar","tdc","Near Mint","English","","","2026-01-17 00:33:16.020000","108","False","False",""
"1","1","Adorned Crocodile","tdm","Near Mint","English","","","2025-04-12 21:46:51.113000","69","False","False",""
"1","1","Adrenaline Jockey","dft","Near Mint","English","","","2026-01-12 23:36:35.140000","112","False","False",""
"1","1","Adrix and Nev, Twincasters","mkc","Near Mint","English","","","2025-12-26 23:09:53.907000","198","False","False",""
